host,ip,port,protocol,title,domain,country,city,link,as_organization
https://59.28.252.229:11000,59.28.252.229,11000,https,403 Forbidden,,KR,Seongnam,https://59.28.252.229:11000,Korea Telecom
https://220.127.134.32:11000,220.127.134.32,11000,https,403 Forbidden,,KR,Seongnam,https://220.127.134.32:11000,Korea Telecom
https://180.182.123.62:11000,180.182.123.62,11000,https,403 Forbidden,,KR,Dangjin,https://180.182.123.62:11000,LG HelloVision Corp.
https://117.123.132.172:11000,117.123.132.172,11000,https,403 Forbidden,,KR,Seoul,https://117.123.132.172:11000,SK Broadband Co Ltd
https://121.150.91.176:11000,121.150.91.176,11000,https,403 Forbidden,,KR,Seongnam,https://121.150.91.176:11000,Korea Telecom
https://59.27.177.171:11000,59.27.177.171,11000,https,403 Forbidden,,KR,Seongnam,https://59.27.177.171:11000,Korea Telecom
https://59.2.28.80:11000,59.2.28.80,11000,https,403 Forbidden,,KR,Seongnam,https://59.2.28.80:11000,Korea Telecom
https://121.175.171.211:10943,121.175.171.211,10943,https,403 Forbidden,,KR,Seongnam,https://121.175.171.211:10943,Korea Telecom
https://222.112.62.29:10943,222.112.62.29,10943,https,403 Forbidden,,KR,Seongnam,https://222.112.62.29:10943,Korea Telecom
https://14.39.43.121:10943,14.39.43.121,10943,https,403 Forbidden,,KR,Seoul,https://14.39.43.121:10943,Korea Telecom
https://49.246.90.67:10943,49.246.90.67,10943,https,403 Forbidden,,KR,Gwangju,https://49.246.90.67:10943,CMB Kwangju Broadcasting
https://59.13.75.15:10943,59.13.75.15,10943,https,403 Forbidden,,KR,Seongnam,https://59.13.75.15:10943,Korea Telecom
https://221.161.40.174:10943,221.161.40.174,10943,https,403 Forbidden,,KR,Seongnam,https://221.161.40.174:10943,Korea Telecom
https://14.54.26.190:10943,14.54.26.190,10943,https,403 Forbidden,,KR,Seongnam,https://14.54.26.190:10943,Korea Telecom
https://61.74.213.66:10943,61.74.213.66,10943,https,403 Forbidden,,KR,Seongnam,https://61.74.213.66:10943,Korea Telecom
https://183.105.166.48:10943,183.105.166.48,10943,https,403 Forbidden,,KR,Seongnam,https://183.105.166.48:10943,Korea Telecom
https://14.54.70.237:10943,14.54.70.237,10943,https,403 Forbidden,,KR,Seongnam,https://14.54.70.237:10943,Korea Telecom
https://39.113.7.144:10943,39.113.7.144,10943,https,403 Forbidden,,KR,Seoul,https://39.113.7.144:10943,SK Broadband Co Ltd
https://220.86.45.45:10943,220.86.45.45,10943,https,403 Forbidden,,KR,Seongnam,https://220.86.45.45:10943,Korea Telecom
https://121.176.131.157:10943,121.176.131.157,10943,https,403 Forbidden,,KR,Seongnam,https://121.176.131.157:10943,Korea Telecom
https://59.1.110.167:10943,59.1.110.167,10943,https,403 Forbidden,,KR,Seongnam,https://59.1.110.167:10943,Korea Telecom
https://61.82.246.107:10943,61.82.246.107,10943,https,403 Forbidden,,KR,Seongnam,https://61.82.246.107:10943,Korea Telecom
https://112.212.4.194:10943,112.212.4.194,10943,https,403 Forbidden,,KR,Seoul,https://112.212.4.194:10943,SK Broadband Co Ltd
https://210.97.30.169:10936,210.97.30.169,10936,https,403 Forbidden,,KR,Seongnam,https://210.97.30.169:10936,Korea Telecom
